company,website,location,contact,rating,review_count,hourly_rate,min_project_size,employee_size
,https://iconflux.com/,"Ahmedabad,India",+919512787877,,,<$25/hr,"$5,000+",50-249
,https://iconflux.com/,"Ahmedabad,India",+919512787877,,,<$25/hr,"$5,000+",50-249
QuickSEOHelp,https://www.quickseohelp.com/,"Ahmedabad,India",+918320408052,5.0,6,<$25/hr,"$1,000+",10-49
,https://iconflux.com/,"Ahmedabad,India",+919512787877,,,<$25/hr,"$5,000+",50-249
QuickSEOHelp,https://www.quickseohelp.com/,"Ahmedabad,India",+918320408052,5.0,6,<$25/hr,"$1,000+",10-49
Czarnowski&Beer,http://czarbeer.com/,"NewYork,NY",212.397.2970,,,$150-$199/hr,"$1,000+",2-9
,https://iconflux.com/,"Ahmedabad,India",+919512787877,,,<$25/hr,"$5,000+",50-249
QuickSEOHelp,https://www.quickseohelp.com/,"Ahmedabad,India",+918320408052,5.0,6,<$25/hr,"$1,000+",10-49
Czarnowski&Beer,http://czarbeer.com/,"NewYork,NY",212.397.2970,,,$150-$199/hr,"$1,000+",2-9
DalalAssociates,http://www.dalalcpa.com/,"Westbury,NY",516.334.2112,,,$150-$199/hr,"$1,000+",10-49
,https://iconflux.com/,"Ahmedabad,India",+919512787877,,,<$25/hr,"$5,000+",50-249
QuickSEOHelp,https://www.quickseohelp.com/,"Ahmedabad,India",+918320408052,5.0,6,<$25/hr,"$1,000+",10-49
Czarnowski&Beer,http://czarbeer.com/,"NewYork,NY",212.397.2970,,,$150-$199/hr,"$1,000+",2-9
DalalAssociates,http://www.dalalcpa.com/,"Westbury,NY",516.334.2112,,,$150-$199/hr,"$1,000+",10-49
iQueSoft,http://www.iquesoft.net/,"Kharkiv,Ukraine",+380.66.777.45.67,4.7,3,$25-$49/hr,Undisclosed,10-49
,https://iconflux.com/,"Ahmedabad,India",+919512787877,,,<$25/hr,"$5,000+",50-249
QuickSEOHelp,https://www.quickseohelp.com/,"Ahmedabad,India",+918320408052,5.0,6,<$25/hr,"$1,000+",10-49
Czarnowski&Beer,http://czarbeer.com/,"NewYork,NY",212.397.2970,,,$150-$199/hr,"$1,000+",2-9
DalalAssociates,http://www.dalalcpa.com/,"Westbury,NY",516.334.2112,,,$150-$199/hr,"$1,000+",10-49
iQueSoft,http://www.iquesoft.net/,"Kharkiv,Ukraine",+380.66.777.45.67,4.7,3,$25-$49/hr,Undisclosed,10-49
Goldburd&Co.,http://www.goldburd.com,"NewYork,NY",212.302.8970,,,Undisclosed,"$1,000+",2-9
,https://iconflux.com/,"Ahmedabad,India",+919512787877,,,<$25/hr,"$5,000+",50-249
QuickSEOHelp,https://www.quickseohelp.com/,"Ahmedabad,India",+918320408052,5.0,6,<$25/hr,"$1,000+",10-49
Czarnowski&Beer,http://czarbeer.com/,"NewYork,NY",212.397.2970,,,$150-$199/hr,"$1,000+",2-9
DalalAssociates,http://www.dalalcpa.com/,"Westbury,NY",516.334.2112,,,$150-$199/hr,"$1,000+",10-49
iQueSoft,http://www.iquesoft.net/,"Kharkiv,Ukraine",+380.66.777.45.67,4.7,3,$25-$49/hr,Undisclosed,10-49
Goldburd&Co.,http://www.goldburd.com,"NewYork,NY",212.302.8970,,,Undisclosed,"$1,000+",2-9
GreenSlate,https://gslate.com/,"NewYork,NY",212.206.1099,,,$50-$99/hr,"$1,000+",10-49
,https://iconflux.com/,"Ahmedabad,India",+919512787877,,,<$25/hr,"$5,000+",50-249
QuickSEOHelp,https://www.quickseohelp.com/,"Ahmedabad,India",+918320408052,5.0,6,<$25/hr,"$1,000+",10-49
Czarnowski&Beer,http://czarbeer.com/,"NewYork,NY",212.397.2970,,,$150-$199/hr,"$1,000+",2-9
DalalAssociates,http://www.dalalcpa.com/,"Westbury,NY",516.334.2112,,,$150-$199/hr,"$1,000+",10-49
iQueSoft,http://www.iquesoft.net/,"Kharkiv,Ukraine",+380.66.777.45.67,4.7,3,$25-$49/hr,Undisclosed,10-49
Goldburd&Co.,http://www.goldburd.com,"NewYork,NY",212.302.8970,,,Undisclosed,"$1,000+",2-9
GreenSlate,https://gslate.com/,"NewYork,NY",212.206.1099,,,$50-$99/hr,"$1,000+",10-49
KiwiPartners,http://www.kiwipartners.com/,"NewYork,NY",212.532.7171,,,$150-$199/hr,"$1,000+",50-249
,https://iconflux.com/,"Ahmedabad,India",+919512787877,,,<$25/hr,"$5,000+",50-249
QuickSEOHelp,https://www.quickseohelp.com/,"Ahmedabad,India",+918320408052,5.0,6,<$25/hr,"$1,000+",10-49
Czarnowski&Beer,http://czarbeer.com/,"NewYork,NY",212.397.2970,,,$150-$199/hr,"$1,000+",2-9
DalalAssociates,http://www.dalalcpa.com/,"Westbury,NY",516.334.2112,,,$150-$199/hr,"$1,000+",10-49
iQueSoft,http://www.iquesoft.net/,"Kharkiv,Ukraine",+380.66.777.45.67,4.7,3,$25-$49/hr,Undisclosed,10-49
Goldburd&Co.,http://www.goldburd.com,"NewYork,NY",212.302.8970,,,Undisclosed,"$1,000+",2-9
GreenSlate,https://gslate.com/,"NewYork,NY",212.206.1099,,,$50-$99/hr,"$1,000+",10-49
KiwiPartners,http://www.kiwipartners.com/,"NewYork,NY",212.532.7171,,,$150-$199/hr,"$1,000+",50-249
dops.digital,http://dops.digital/?utm_source=clutch&utm_medium=referral,"L'viv,Ukraine",+380636300449,5.0,22,$50-$99/hr,"$10,000+",10-49
,https://iconflux.com/,"Ahmedabad,India",+919512787877,,,<$25/hr,"$5,000+",50-249
QuickSEOHelp,https://www.quickseohelp.com/,"Ahmedabad,India",+918320408052,5.0,6,<$25/hr,"$1,000+",10-49
Czarnowski&Beer,http://czarbeer.com/,"NewYork,NY",212.397.2970,,,$150-$199/hr,"$1,000+",2-9
DalalAssociates,http://www.dalalcpa.com/,"Westbury,NY",516.334.2112,,,$150-$199/hr,"$1,000+",10-49
iQueSoft,http://www.iquesoft.net/,"Kharkiv,Ukraine",+380.66.777.45.67,4.7,3,$25-$49/hr,Undisclosed,10-49
Goldburd&Co.,http://www.goldburd.com,"NewYork,NY",212.302.8970,,,Undisclosed,"$1,000+",2-9
GreenSlate,https://gslate.com/,"NewYork,NY",212.206.1099,,,$50-$99/hr,"$1,000+",10-49
KiwiPartners,http://www.kiwipartners.com/,"NewYork,NY",212.532.7171,,,$150-$199/hr,"$1,000+",50-249
dops.digital,http://dops.digital/?utm_source=clutch&utm_medium=referral,"L'viv,Ukraine",+380636300449,5.0,22,$50-$99/hr,"$10,000+",10-49
,https://www.versatilemobitech.com,"Kondapur,India",9701930011,4.2,8,$25-$49/hr,"$5,000+",50-249
,https://iconflux.com/,"Ahmedabad,India",+919512787877,,,<$25/hr,"$5,000+",50-249
QuickSEOHelp,https://www.quickseohelp.com/,"Ahmedabad,India",+918320408052,5.0,6,<$25/hr,"$1,000+",10-49
Czarnowski&Beer,http://czarbeer.com/,"NewYork,NY",212.397.2970,,,$150-$199/hr,"$1,000+",2-9
DalalAssociates,http://www.dalalcpa.com/,"Westbury,NY",516.334.2112,,,$150-$199/hr,"$1,000+",10-49
iQueSoft,http://www.iquesoft.net/,"Kharkiv,Ukraine",+380.66.777.45.67,4.7,3,$25-$49/hr,Undisclosed,10-49
Goldburd&Co.,http://www.goldburd.com,"NewYork,NY",212.302.8970,,,Undisclosed,"$1,000+",2-9
GreenSlate,https://gslate.com/,"NewYork,NY",212.206.1099,,,$50-$99/hr,"$1,000+",10-49
KiwiPartners,http://www.kiwipartners.com/,"NewYork,NY",212.532.7171,,,$150-$199/hr,"$1,000+",50-249
dops.digital,http://dops.digital/?utm_source=clutch&utm_medium=referral,"L'viv,Ukraine",+380636300449,5.0,22,$50-$99/hr,"$10,000+",10-49
,https://www.versatilemobitech.com,"Kondapur,India",9701930011,4.2,8,$25-$49/hr,"$5,000+",50-249
,http://www.smartsensesolutions.com,"Gandhinagar,India",8866105208,4.9,13,$50-$99/hr,"$25,000+",50-249
,https://iconflux.com/,"Ahmedabad,India",+919512787877,,,<$25/hr,"$5,000+",50-249
QuickSEOHelp,https://www.quickseohelp.com/,"Ahmedabad,India",+918320408052,5.0,6,<$25/hr,"$1,000+",10-49
Czarnowski&Beer,http://czarbeer.com/,"NewYork,NY",212.397.2970,,,$150-$199/hr,"$1,000+",2-9
DalalAssociates,http://www.dalalcpa.com/,"Westbury,NY",516.334.2112,,,$150-$199/hr,"$1,000+",10-49
iQueSoft,http://www.iquesoft.net/,"Kharkiv,Ukraine",+380.66.777.45.67,4.7,3,$25-$49/hr,Undisclosed,10-49
Goldburd&Co.,http://www.goldburd.com,"NewYork,NY",212.302.8970,,,Undisclosed,"$1,000+",2-9
GreenSlate,https://gslate.com/,"NewYork,NY",212.206.1099,,,$50-$99/hr,"$1,000+",10-49
KiwiPartners,http://www.kiwipartners.com/,"NewYork,NY",212.532.7171,,,$150-$199/hr,"$1,000+",50-249
dops.digital,http://dops.digital/?utm_source=clutch&utm_medium=referral,"L'viv,Ukraine",+380636300449,5.0,22,$50-$99/hr,"$10,000+",10-49
,https://www.versatilemobitech.com,"Kondapur,India",9701930011,4.2,8,$25-$49/hr,"$5,000+",50-249
,http://www.smartsensesolutions.com,"Gandhinagar,India",8866105208,4.9,13,$50-$99/hr,"$25,000+",50-249
NCheng,http://www.ncheng.com/,"NewYork,NY",212.785.0100,,,$50-$99/hr,"$1,000+",50-249
,https://iconflux.com/,"Ahmedabad,India",+919512787877,,,<$25/hr,"$5,000+",50-249
QuickSEOHelp,https://www.quickseohelp.com/,"Ahmedabad,India",+918320408052,5.0,6,<$25/hr,"$1,000+",10-49
Czarnowski&Beer,http://czarbeer.com/,"NewYork,NY",212.397.2970,,,$150-$199/hr,"$1,000+",2-9
DalalAssociates,http://www.dalalcpa.com/,"Westbury,NY",516.334.2112,,,$150-$199/hr,"$1,000+",10-49
iQueSoft,http://www.iquesoft.net/,"Kharkiv,Ukraine",+380.66.777.45.67,4.7,3,$25-$49/hr,Undisclosed,10-49
Goldburd&Co.,http://www.goldburd.com,"NewYork,NY",212.302.8970,,,Undisclosed,"$1,000+",2-9
GreenSlate,https://gslate.com/,"NewYork,NY",212.206.1099,,,$50-$99/hr,"$1,000+",10-49
KiwiPartners,http://www.kiwipartners.com/,"NewYork,NY",212.532.7171,,,$150-$199/hr,"$1,000+",50-249
dops.digital,http://dops.digital/?utm_source=clutch&utm_medium=referral,"L'viv,Ukraine",+380636300449,5.0,22,$50-$99/hr,"$10,000+",10-49
,https://www.versatilemobitech.com,"Kondapur,India",9701930011,4.2,8,$25-$49/hr,"$5,000+",50-249
,http://www.smartsensesolutions.com,"Gandhinagar,India",8866105208,4.9,13,$50-$99/hr,"$25,000+",50-249
NCheng,http://www.ncheng.com/,"NewYork,NY",212.785.0100,,,$50-$99/hr,"$1,000+",50-249
Vipra,https://www.viprabusiness.com/contact-us/,"Charleston,SC",+12132211060,4.9,4,$25-$49/hr,"$5,000+",50-249
,https://iconflux.com/,"Ahmedabad,India",+919512787877,,,<$25/hr,"$5,000+",50-249
QuickSEOHelp,https://www.quickseohelp.com/,"Ahmedabad,India",+918320408052,5.0,6,<$25/hr,"$1,000+",10-49
Czarnowski&Beer,http://czarbeer.com/,"NewYork,NY",212.397.2970,,,$150-$199/hr,"$1,000+",2-9
DalalAssociates,http://www.dalalcpa.com/,"Westbury,NY",516.334.2112,,,$150-$199/hr,"$1,000+",10-49
iQueSoft,http://www.iquesoft.net/,"Kharkiv,Ukraine",+380.66.777.45.67,4.7,3,$25-$49/hr,Undisclosed,10-49
Goldburd&Co.,http://www.goldburd.com,"NewYork,NY",212.302.8970,,,Undisclosed,"$1,000+",2-9
GreenSlate,https://gslate.com/,"NewYork,NY",212.206.1099,,,$50-$99/hr,"$1,000+",10-49
KiwiPartners,http://www.kiwipartners.com/,"NewYork,NY",212.532.7171,,,$150-$199/hr,"$1,000+",50-249
dops.digital,http://dops.digital/?utm_source=clutch&utm_medium=referral,"L'viv,Ukraine",+380636300449,5.0,22,$50-$99/hr,"$10,000+",10-49
,https://www.versatilemobitech.com,"Kondapur,India",9701930011,4.2,8,$25-$49/hr,"$5,000+",50-249
,http://www.smartsensesolutions.com,"Gandhinagar,India",8866105208,4.9,13,$50-$99/hr,"$25,000+",50-249
NCheng,http://www.ncheng.com/,"NewYork,NY",212.785.0100,,,$50-$99/hr,"$1,000+",50-249
